compras_pasadas,nivel_riesgo,plazo,monto_credito,sector,antiguedad,ventas
3169.5116389020545,4,2,3599.9775678680467,4,0.9212539141928487,3182.7278114368105
1469.5591877257732,3,3,1422.9190605379906,0,0.3941469528718093,1944.3455232768554
2222.1691173447025,4,4,2683.4408608958815,2,2.3235723705031748,2525.3835285658333
5224.375100521787,4,2,6039.75438327911,4,1.490944577892061,4591.849218670228
6644.639362641234,4,3,7755.5893660385445,4,4.444829333763775,7817.557518135023
3875.1355483217076,4,4,4563.5355637473185,3,1.0478394442505146,2988.483368506142
6605.213279596056,4,3,7613.828221845763,4,2.3577713733699097,9119.899341077176
2781.3861554875593,3,4,2686.589835669125,1,1.574264346576201,3096.0218041488715
3715.5457357209084,3,4,3626.4384094453617,0,0.9770525942714762,3706.3237061530704
5035.183780255115,4,1,5598.424221419127,4,0.5553561330046219,5575.626404554276
3397.2895917107257,4,3,3910.239603078831,2,0.22310064348263975,2316.4626815066063
10390.307434398963,4,4,12530.073056920493,3,0.4522194382414814,12717.75329842264
1315.4547979831018,3,2,1224.4576550845054,0,0.13245531011014736,1159.612451139673
1570.477583125133,3,4,1551.292919730719,1,0.7256162555568773,1169.5534337902252
11409.286169937273,4,2,13220.020444576661,4,1.2328151664546365,15123.359412835438
17360.8353860407,4,3,20611.31441180573,4,2.698662973137122,21987.529629691755
932.5907821100642,3,3,901.5680533516019,0,0.7763902700310912,771.8468929327491
4041.468897227484,4,4,4798.970908834752,2,1.2094425503506998,3112.6624119344187
3446.7080803520153,3,6,3524.628107179241,2,3.194173949099102,2993.8591587878414
2571.2155435973054,3,4,2475.517333877746,0,4.545932398671091,3443.634600013214
5305.552698506101,4,4,6258.204840116618,2,0.36621805034330285,7451.047947634625
5133.678595244496,4,2,5925.983273752432,4,1.5154517188764833,4304.526485682742
10250.595997404898,3,6,10303.492629018949,2,2.9303164293602757,13246.98451725432
3654.9707237592806,3,4,3498.8411887635602,0,0.8598589004930333,5071.564991179511
1751.8191321432564,2,6,1409.645813369339,1,7.088881708833637,2284.064474960271
4932.385449341599,3,5,4897.0216282031615,2,1.4893840544298342,5305.129341260273
3607.1177372360353,3,4,3492.4134353899644,1,0.7705875822529465,4858.532209227207
2923.6356470988057,4,2,3399.4892553222107,4,0.5157090374778274,3373.725425852846
3000.3276123174073,3,4,2951.803723324168,3,3.8280796846053624,2873.8879602909933
3094.92701014871,3,3,2968.1752684891485,0,0.4476764885679617,3505.392927937041
3896.1151495244526,3,4,3755.0945173774403,1,0.1645668982983918,4134.373333360702
4110.973312733771,2,7,3294.868676423557,1,6.419065422762086,5215.07095197665
2688.5924250825974,3,5,2695.4450316767084,1,2.985890881502602,2322.053089127926
1672.2843640853562,3,3,1597.712019965974,0,2.016013138597298,1971.1279324339778
1236.069891923082,3,3,1175.7161164499094,0,2.790499627815051,1012.9811364293657
15012.921527391669,4,3,17495.66050858494,4,3.300178114655692,19062.44768375618
2620.1001120297365,2,7,2099.0253408903877,0,8.48221537841154,3564.8749807997365
4158.5751848364725,4,3,4866.925905892273,4,1.7150165852079915,3094.2396820340387
7494.113307336743,1,10,4610.413151177154,3,13.661506486932272,6529.07092901202
3311.2356750770978,3,3,3116.6947460762094,0,1.2882782665558672,3247.6726998492845
9263.367050796884,3,4,8883.159979184367,4,4.466147607589665,10412.28217829071
4154.7426795294805,3,4,3979.3793079209872,3,1.2030592002019525,3091.72831843403
8760.941742679668,4,3,10090.271648473688,4,2.3704164441353455,11990.486751683664
973.5267403575131,3,3,942.6356076755143,0,3.96275356235402,891.5630251328854
6993.399816973368,2,6,5525.6779547237875,0,3.9352281490375214,9660.598067775398
3826.0016487963876,4,2,4302.339233265765,4,2.739544950765915,3730.162038568812
4647.1152991585595,3,5,4628.359963632237,2,2.788176552053555,5140.989494039948
